category,ptt_model,neg_rate,raw_neg_rate,score,comment_count,正評,負評,中立,有效評論數,PTT筆數,巴哈筆數,prior_neg_rate,alpha
AIR_COOLER,DEEPCOOL ASSASSIN IV,0.472509,0.5,52.7491,28,5,5,18,10,26,2,0.458763,20
AIR_COOLER,Noctua NH-D15S,0.511847,0.540541,48.8153,75,17,20,38,37,34,41,0.458763,20
AIR_COOLER,Scythe 虎徹3,0.547865,0.666667,45.2135,26,5,10,11,15,13,13,0.458763,20
AIR_COOLER,利民 AXP120,0.562047,0.857143,43.7953,14,1,6,7,7,11,3,0.458763,20
AIR_COOLER,利民 AXP90,0.376861,0.142857,62.3139,16,6,1,9,7,8,8,0.458763,20
AIR_COOLER,利民 Peerless Assassin 120,0.364317,0.346154,63.5683,199,68,36,95,104,27,172,0.458763,20
AIR_COOLER,酷碼 Hyper 212,0.59339,0.785714,40.661,34,3,11,20,14,31,3,0.458763,20
CASE,Fractal Define 7,0.720706,0.74359,27.9294,98,10,29,59,39,98,0,0.676083,20
CASE,Fractal Meshify 3,0.673161,0.666667,32.6839,18,3,6,9,9,17,1,0.676083,20
CASE,Fractal Torrent Compact,0.735052,0.833333,26.4948,27,2,10,15,12,27,0,0.676083,20
CASE,HYTE Y70,0.617389,0.5,38.2611,21,5,5,11,10,14,7,0.676083,20
CASE,Montech Air 100,0.904124,0.982759,9.5876,91,1,57,33,58,72,19,0.676083,20
CASE,Montech Air 1000,0.732916,0.875,26.7084,24,1,7,16,8,14,10,0.676083,20
CASE,Montech KING 95,0.597473,0.454545,40.2527,23,6,5,12,11,18,5,0.676083,20
CASE,Montech SKY ONE,0.688041,0.7,31.1959,41,6,14,21,20,40,1,0.676083,20
CASE,Montech SKY TWO,0.696503,0.709677,30.3497,67,9,22,36,31,66,1,0.676083,20
CASE,Montech X1,0.712371,0.833333,28.7629,9,1,5,3,6,6,3,0.676083,20
CASE,NZXT H5 Flow,0.700481,0.72,29.9519,41,7,18,16,25,3,38,0.676083,20
CASE,NZXT H6 Flow,0.703757,0.717949,29.6243,65,11,28,26,39,1,64,0.676083,20
CASE,NZXT H7 Flow,0.721225,0.785714,27.8775,27,3,11,13,14,11,16,0.676083,20
CASE,NZXT H9 Flow,0.726505,0.818182,27.3495,14,2,9,3,11,13,1,0.676083,20
CASE,聯力 LANCOOL 216,0.54503,0.472222,45.497,86,19,17,50,36,80,6,0.676083,20
CASE,聯力 O11 Dynamic EVO,0.500305,0.431373,49.9695,97,29,22,46,51,27,70,0.676083,20
CASE,聯力 O11 Dynamic Mini V2,0.596987,0.333333,40.3013,11,4,2,5,6,11,0,0.676083,20
CASE,華碩 AP201,0.629731,0.545455,37.0269,27,5,6,16,11,26,1,0.676083,20
CASE,酷碼 NR200,0.599139,0.577465,40.0861,212,30,41,141,71,198,14,0.676083,20
CASE,酷碼 NR200P,0.704232,0.714286,29.5768,168,16,40,112,56,168,0,0.676083,20
CASE,酷碼 Q300L,0.685987,0.714286,31.4013,12,2,5,5,7,12,0,0.676083,20
CPU,AMD R5 3400G,0.647603,0.679487,35.2397,206,25,53,128,78,206,0,0.523256,20
CPU,AMD R5 5500GT,0.692423,1.0,30.7577,24,0,11,13,11,22,2,0.523256,20
CPU,AMD R5 5500X3D,0.421625,0.385965,57.8375,114,35,22,57,57,113,1,0.523256,20
CPU,AMD R5 5600GT,0.480897,0.375,51.9103,19,5,3,11,8,19,0,0.523256,20
CPU,AMD R5 5600XT,0.668694,0.733333,33.1306,62,12,33,17,45,61,1,0.523256,20
CPU,AMD R5 7500F,0.449919,0.446341,55.0081,817,227,183,407,410,255,562,0.523256,20
CPU,AMD R5 8400F,0.749437,0.857143,25.0563,83,6,36,41,42,83,0,0.523256,20
CPU,AMD R5 8500G,0.662553,0.758621,33.7447,66,7,22,37,29,64,2,0.523256,20
CPU,AMD R5 8600G,0.538517,0.545455,46.1483,112,20,24,68,44,111,1,0.523256,20
CPU,AMD R5 9500F,0.586628,0.65,41.3372,47,7,13,27,20,47,0,0.523256,20
CPU,AMD R5 9600X,0.526202,0.527273,47.3798,138,26,29,83,55,128,10,0.523256,20
CPU,AMD R7 7700,0.415422,0.386667,58.4578,138,46,29,63,75,83,55,0.523256,20
CPU,AMD R7 7800X3D,0.45013,0.448436,54.987,1580,476,387,717,863,1244,336,0.523256,20
CPU,AMD R7 8700G,0.493477,0.483871,50.6523,110,32,30,48,62,108,2,0.523256,20
CPU,AMD R7 9700X,0.670247,0.684729,32.9753,333,64,139,130,203,315,18,0.523256,20
CPU,AMD R9 9800X3D,0.511906,0.511435,48.8094,882,235,246,401,481,0,882,0.523256,20
CPU,AMD R9 9900X,0.602599,0.621951,39.7401,171,31,51,89,82,168,3,0.523256,20
CPU,AMD R9 9900X3D,0.476744,0.456522,52.3256,78,25,21,32,46,78,0,0.523256,20
CPU,AMD R9 9950X,0.58451,0.597826,41.549,184,37,55,92,92,165,19,0.523256,20
CPU,AMD R9 9950X3D,0.486508,0.483471,51.3492,469,125,117,227,242,457,12,0.523256,20
CPU,Intel Core Ultra 5 225,0.624031,0.75,37.5969,24,4,12,8,16,22,2,0.523256,20
CPU,Intel Core Ultra 5 225F,0.617503,0.722222,38.2497,36,5,13,18,18,36,0,0.523256,20
CPU,Intel Core Ultra 5 245K,0.429142,0.386364,57.0858,100,27,17,56,44,58,42,0.523256,20
CPU,Intel Core Ultra 5 245KF,0.60167,0.684211,39.833,55,6,13,36,19,55,0,0.523256,20
CPU,Intel Core Ultra 7 265K,0.469746,0.464286,53.0254,353,105,91,157,196,148,205,0.523256,20
CPU,Intel Core Ultra 7 265KF,0.624487,0.666667,37.5513,79,16,32,31,48,71,8,0.523256,20
CPU,Intel Core Ultra 9 285K,0.554334,0.558621,44.5666,259,64,81,114,145,146,113,0.523256,20
CPU,Intel i3-14100,0.590275,0.628571,40.9725,70,13,22,35,35,70,0,0.523256,20
CPU,Intel i5-12400,0.433676,0.426966,56.6324,783,153,114,516,267,768,15,0.523256,20
CPU,Intel i5-14400,0.63146,0.673077,36.854,127,17,35,75,52,50,77,0.523256,20
CPU,Intel i5-14400F,0.596253,0.6875,40.3747,39,5,11,23,16,8,31,0.523256,20
CPU,Intel i7-14700,0.691437,0.705394,30.8563,507,71,170,266,241,283,224,0.523256,20
GPU,Arc B580,0.710245,0.717073,28.9755,391,58,147,186,205,380,11,0.640261,20
GPU,GT1030,0.605701,0.5625,39.4299,31,7,9,15,16,21,10,0.640261,20
GPU,GT710,0.827773,0.911111,17.2227,72,4,41,27,45,68,4,0.640261,20
GPU,GT730,0.81464,0.914286,18.536,54,3,32,19,35,52,2,0.640261,20
GPU,RTX3050,0.790134,0.802469,20.9866,489,48,195,246,243,464,25,0.640261,20
GPU,RTX5050,0.828406,0.859504,17.1594,185,17,104,64,121,169,16,0.640261,20
GPU,RTX5060,0.584348,0.583156,41.5652,1662,391,547,724,938,358,1304,0.640261,20
GPU,RTX5060Ti,0.810338,0.814966,18.9662,1159,136,599,424,735,961,198,0.640261,20
GPU,RTX5070,0.551604,0.550663,44.8396,3373,847,1038,1488,1885,378,2995,0.640261,20
GPU,RTX5070Ti,0.705755,0.706623,29.4245,2709,443,1067,1199,1510,2288,421,0.640261,20
GPU,RTX5080,0.688756,0.689215,31.1244,3668,657,1457,1554,2114,2305,1363,0.640261,20
GPU,RX7650GRE,0.737134,0.794118,26.2866,46,7,27,12,34,44,2,0.640261,20
GPU,RX9060XT,0.656087,0.656863,34.3913,766,140,268,358,408,702,64,0.640261,20
GPU,RX9070,0.502353,0.5,49.7647,2025,586,586,853,1172,186,1839,0.640261,20
GPU,RX9070GRE,0.615002,0.609195,38.4998,162,34,53,75,87,107,55,0.640261,20
GPU,RX9070XT,0.602528,0.60202,39.7472,2675,591,894,1190,1485,1728,947,0.640261,20
MB,A520M,0.780093,0.931034,21.9907,53,2,27,24,29,40,13,0.561227,20
MB,A620,0.755887,0.776596,24.4113,327,42,146,139,188,260,67,0.561227,20
MB,B550M,0.586503,0.589744,41.3497,287,64,92,131,156,124,163,0.561227,20
MB,B650M,0.429842,0.427791,57.0158,2250,733,548,969,1281,169,2081,0.561227,20
MB,B760M,0.677787,0.6875,32.2213,442,75,165,202,240,90,352,0.561227,20
MB,B840,0.624394,0.681818,37.5606,39,7,15,17,22,21,18,0.561227,20
MB,B850,0.567166,0.567442,43.2834,745,186,244,315,430,6,739,0.561227,20
MB,B850M,0.581098,0.581933,41.8902,835,199,277,359,476,96,739,0.561227,20
MB,B860M,0.461465,0.430769,53.8535,117,37,28,52,65,13,104,0.561227,20
MB,H610M,0.664352,0.740741,33.5648,49,7,20,22,27,17,32,0.561227,20
MB,X870,0.575927,0.576642,42.4073,643,174,237,232,411,59,584,0.561227,20
MB,X870E,0.650085,0.656716,34.9915,471,92,176,203,268,242,229,0.561227,20
MB,Z790,0.642676,0.647799,35.7324,565,112,206,247,318,369,196,0.561227,20
MB,Z890,0.610725,0.614504,38.9275,400,101,161,138,262,207,193,0.561227,20
PSU,全漢 VITA GM,0.454361,0.222222,54.5639,17,7,2,8,9,1,16,0.558824,20
PSU,全漢 聖武士,0.640374,0.708333,35.9626,39,7,17,15,24,15,24,0.558824,20
PSU,全漢 金鋼彈,0.529412,0.5,47.0588,36,10,10,16,20,21,15,0.558824,20
PSU,振華 LEADEX III,0.663529,0.733333,33.6471,57,8,22,27,30,21,36,0.558824,20
PSU,振華 LEADEX VII,0.474332,0.455556,52.5668,159,49,41,69,90,66,93,0.558824,20
PSU,海韻 CORE GX,0.599129,0.714286,40.0871,22,2,5,15,7,11,11,0.558824,20
PSU,海韻 FOCUS GX,0.575009,0.577181,42.4991,273,63,86,124,149,26,247,0.558824,20
PSU,海韻 VERTEX GX,0.586338,0.636364,41.3662,19,4,7,8,11,9,10,0.558824,20
RAM,DDR4-3200,0.667806,0.670886,33.2194,1074,182,371,521,553,330,744,0.582642,20
RAM,DDR4-3600,0.650426,0.663462,34.9574,202,35,69,98,104,174,28,0.582642,20
RAM,DDR5-4800,0.680267,0.75,31.9733,52,7,21,24,28,23,29,0.582642,20
RAM,DDR5-5600,0.547372,0.527778,45.2628,86,17,19,50,36,27,59,0.582642,20
RAM,DDR5-6000,0.521098,0.519546,47.8902,1371,381,412,578,793,72,1299,0.582642,20
RAM,DDR5-6400,0.453325,0.390244,54.6675,78,25,16,37,41,34,44,0.582642,20
RAM,DDR5-8000,0.520401,0.416667,47.9599,22,7,5,10,12,10,12,0.582642,20
SSD,ADATA XPG S70,0.5244,0.411765,47.56,36,10,7,19,17,33,3,0.62014,20
SSD,Acer GM7000,0.651478,0.655629,34.8522,284,52,99,133,151,247,37,0.62014,20
SSD,Corsair MP600,0.585814,0.5,41.4186,10,4,4,2,8,8,2,0.62014,20
SSD,Kingston FURY Renegade,0.390047,0.275,60.9953,77,29,11,37,40,54,23,0.62014,20
SSD,Kingston KC3000,0.583593,0.580645,41.6407,479,104,144,231,248,123,356,0.62014,20
SSD,Micron P310,0.774527,0.888889,22.5473,36,3,24,9,27,36,0,0.62014,20
SSD,Micron T500,0.631516,0.632353,36.8484,536,100,172,264,272,65,471,0.62014,20
SSD,Micron T700,0.584419,0.568182,41.5581,64,19,25,20,44,17,47,0.62014,20
SSD,Micron T705,0.706713,0.75,29.3287,64,10,30,24,40,21,43,0.62014,20
SSD,Micron T710,0.616112,0.6,38.3888,10,2,3,5,5,10,0,0.62014,20
SSD,Samsung 870 EVO,0.64676,0.7,35.324,14,3,7,4,10,9,5,0.62014,20
SSD,Samsung 990 PRO,0.531882,0.458333,46.8118,39,13,11,15,24,22,17,0.62014,20
SSD,WD SN8100,0.688317,0.785714,31.1683,33,3,11,19,14,32,1,0.62014,20
SSD,WD SN850X,0.702462,0.718447,29.7538,163,29,74,60,103,108,55,0.62014,20
WATER_COOLER,Montech HyperFlow,0.65,0.7,35.0,18,3,7,8,10,15,3,0.625,20
WATER_COOLER,華碩 TUF GAMING LC III,0.596154,0.5,40.3846,6,3,3,0,6,5,1,0.625,20
