category,model,brand,series,data_level,title,url,tag,content,date,_index,relevant,label
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,他說記憶體共享能跑LLM 13B，以及SD 2K圖,09/24/2025,1,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,只是AIGC應用。換言之他根本不會管Token,09/24/2025,9,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,花費頂多是強升N卡以及電費吧,09/24/2025,17,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,覺得慢啊，用20b附近的速度還不錯吧,09/24/2025,58,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,120b可以跑，在ddr5的系統記憶體一半,09/24/2025,61,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,ncensored內容也還不錯，速度尚可，,09/24/2025,63,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,跑，比我想像中強，謝啦,09/24/2025,70,True,正評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,加上雙通道6000能擠出120Gb/s就很好了,09/24/2025,81,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758689168.A.E0C.html,→,誰買誰盤子，笑你,09/24/2025,90,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,除非自己跑SDR18 不然很多網頁夠用了,09/22/2025,157,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,大概可以比mac mini好一點,09/22/2025,166,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,推,我預算只有20K但是我要3A大作都能4K順,09/22/2025,168,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,是原原pi不知道為什麼毛特別多 這個不要那,09/22/2025,201,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,個不要 不然欣亞買整台20k的組合就好了,09/22/2025,202,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,沒幹什麼硬上64G就真的不知道在想什麼了,09/22/2025,213,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,"的一部分,雖然速度跟顯示卡記憶體沒法",09/22/2025,218,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,比至少不會像以前動不動直接爆顯存給你,09/22/2025,219,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,推,會不會縮缸這種事連原廠都不敢給保證了,09/22/2025,220,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,推,推啦，原PO那種講白了，只配用爆殺i7,09/23/2025,239,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,是達成原po想要的,09/23/2025,246,True,中立
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,找二手 但是對這類人來說 我自己也不太推薦,09/23/2025,250,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,一樣，誰買誰盤子，記得買好貼上來給人笑,09/23/2025,259,True,負評
CPU,Intel i3-14100,Intel,i3,型號,Re: [請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758521944.A.134.html,→,滿意 還不如一開始就直接買N卡 省一堆事,09/23/2025,267,True,正評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,怕就不要買 多200還要使用時整天怕東,09/21/2025,278,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,i5-12400F也差不多錢,09/21/2025,281,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,只有i5能買，i3都太貴，對岸12100F全,09/21/2025,284,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,會怕就算啦，單核boost時脈也才差10%,09/21/2025,294,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,12100跑不動的14100也跑不動啦,09/21/2025,297,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,5050遊戲性能比4060還要低，這東西唯一,09/21/2025,310,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,它是50系最便宜的新一代NVENC 。,09/21/2025,312,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,反正你不超頻，穩穩用的話二線品牌也沒,09/21/2025,314,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,怕縮缸，應該也會怕淘了出問題吧,09/21/2025,316,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,容易縮的主要是K版的那些，非K版的災情,09/21/2025,318,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,我用14100沒什麼問題的,09/21/2025,319,True,正評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,可以是可以 但我比較推薦12400 CPU同時跑,09/21/2025,325,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,當然要極限壓低預算就隨便 我自己是懶得省,09/21/2025,327,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,沒必要14100不如12400f ram至少拿美,09/22/2025,328,True,負評
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,→,0K嗎？跑分網站看一輪好像那4核比8代6核,09/22/2025,332,True,中立
CPU,Intel i3-14100,Intel,i3,型號,[請益] I3-14100到底可不可以買?,https://www.ptt.cc/bbs/PC_Shopping/M.1758464494.A.AEC.html,推,整套垃圾不解釋，對岸啟動隨便都比,09/22/2025,334,True,負評
